MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
22,2,DPC 2022 Spring Tour - Eastern Europe Division 1,Team Spirit,dire,29,WIN,31:54,Night Stalker,Tiny,Clockwerk,Keeper of the Light,Storm Spirit
22,2,DPC 2022 Spring Tour - Eastern Europe Division 1,BetBoom Team,radiant,10,LOSE,31:54,Leshrac,Necrophos,Pugna,Grimstroke,Dragon Knight
22,3,DPC 2022 Spring Tour - Eastern Europe Division 1,Team Spirit,radiant,17,LOSE,54:59,Magnus,Lina,Hoodwink,Chaos Knight,Bane
22,3,DPC 2022 Spring Tour - Eastern Europe Division 1,BetBoom Team,dire,15,WIN,54:59,Terrorblade,Chen,Pangolier,Leshrac,Io
23,1,DPC 2022 Spring Tour - Eastern Europe Division 1,Team Spirit,radiant,41,WIN,51:19,Underlord,Templar Assassin,Clockwerk,Storm Spirit,Keeper of the Light
23,1,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,dire,28,LOSE,51:19,Phantom Assassin,Ember Spirit,Skywrath Mage,Enchantress,Sand King
23,2,DPC 2022 Spring Tour - Eastern Europe Division 1,Team Spirit,dire,33,WIN,41:18,Beastmaster,Tiny,Shadow Shaman,Storm Spirit,Keeper of the Light
23,2,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,radiant,14,LOSE,41:18,Templar Assassin,Death Prophet,Hoodwink,Puck,Dragon Knight
24,1,DPC 2022 Spring Tour - Eastern Europe Division 1,BetBoom Team,dire,20,LOSE,44:33,Undying,Jakiro,Mars,Visage,Storm Spirit
24,1,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,radiant,25,WIN,44:33,Leshrac,Medusa,Treant Protector,Pugna,Dragon Knight
24,2,DPC 2022 Spring Tour - Eastern Europe Division 1,BetBoom Team,dire,32,WIN,33:03,Chen,Pangolier,Grimstroke,Visage,Mars
24,2,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,radiant,14,LOSE,33:03,Wraith King,Disruptor,Chaos Knight,Storm Spirit,Pugna
24,3,DPC 2022 Spring Tour - Eastern Europe Division 1,BetBoom Team,radiant,24,WIN,44:50,Windranger,Bane,Shadow Demon,Visage,Mars
24,3,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,dire,17,LOSE,44:50,Abaddon,Medusa,Storm Spirit,Dragon Knight,Pugna
25,1,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,dire,29,WIN,30:06,Phantom Assassin,Timbersaw,Shadow Shaman,Pangolier,Keeper of the Light
25,1,DPC 2022 Spring Tour - Eastern Europe Division 1,CIS Rejects,radiant,12,LOSE,30:06,Storm Spirit,Medusa,Skywrath Mage,Sand King,Death Prophet
25,2,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,radiant,15,LOSE,39:00,Puck,Terrorblade,Shadow Shaman,Pangolier,Keeper of the Light
25,2,DPC 2022 Spring Tour - Eastern Europe Division 1,CIS Rejects,dire,20,WIN,39:00,Faceless Void,Lina,Grimstroke,Mars,Death Prophet
25,3,DPC 2022 Spring Tour - Eastern Europe Division 1,Natus Vincere,radiant,41,WIN,48:19,Oracle,Lina,Bloodseeker,Timbersaw,Enchantress
25,3,DPC 2022 Spring Tour - Eastern Europe Division 1,CIS Rejects,dire,30,LOSE,48:19,Nature's Prophet,Ember Spirit,Mirana,Sand King,Death Prophet
26,1,ESL One Stockholm 2022,BetBoom Team,radiant,15,LOSE,36:24,Pangolier,Disruptor,Chaos Knight,Io,Mars
26,1,ESL One Stockholm 2022,BOOM Esports,dire,36,WIN,36:24,Bloodseeker,Kunkka,Mirana,Sand King,Grimstroke
26,2,ESL One Stockholm 2022,BetBoom Team,radiant,29,WIN,28:47,Leshrac,Chaos Knight,Pugna,Mirana,Mars
26,2,ESL One Stockholm 2022,BOOM Esports,dire,4,LOSE,28:47,Tusk,Terrorblade,Death Prophet,Sand King,Grimstroke
27,1,ESL One Stockholm 2022,BetBoom Team,dire,10,LOSE,28:28,Tidehunter,Necrophos,Hoodwink,Keeper of the Light,Storm Spirit
27,1,ESL One Stockholm 2022,Tundra Esports,radiant,25,WIN,28:28,Death Prophet,Shadow Shaman,Void Spirit,Pugna,Chaos Knight
27,2,ESL One Stockholm 2022,BetBoom Team,radiant,42,WIN,41:31,Ursa,Death Prophet,Shadow Shaman,Io,Chaos Knight
27,2,ESL One Stockholm 2022,Tundra Esports,dire,18,LOSE,41:31,Skywrath Mage,Snapfire,Dragon Knight,Doom,Pugna
28,1,ESL One Stockholm 2022,BOOM Esports,radiant,17,LOSE,31:55,Chaos Knight,Dragon Knight,Death Prophet,Monkey King,Pugna
